url,name,price,brand,diameter,width,gap width,weight,bearing size,response,material,designed in,made in,machined in,released
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/beater-yoyo-by-clyw,Beater,$ 99.99,Caribou Lodge - Double Rim Organic Design,55 mm / 2.17 inches,45.4 mm / 1.79 inches,0.00 mm / 0.00 inches,66.8 grams,Size C (.250 x .500 x .187),Snow Tires,7075 Aluminum,Canada,China,NA,September 2022
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/sasquatch-yoyo-by-clyw,Sasquatch,$ 119.99,Caribou Lodge - The Sasquatch Returns in a BIG way!,71.4 mm /2.81 inches,54.00 mm / 0.00 inches,4.00mm / 0.00 inches,62.4grams,Size C (.250 x .500 x .187),Snow Tires,6061 Aluminum,Canada,China,NA,September 2022
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/haymaker-og,Haymaker OG,$ 69.99,Duncan -  Fast Powerful Bi-Metal Design!,52.81 mm / 2.08 inches,41.31 mm / 1.63 inches,4.5 mm / 0.18 inches,60.8 grams,ConcaveSize C (.250 x .500 x .187),"Duncan Silicone Groove StickersCompatible with ""Slim Pad"" Size 19mm OD",NA,USA,China,NA,NA
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/haymaker-aluminum,Haymaker (Aluminum),$ 44.99,Duncan -  Versatile and Powerful Design!,55.98 mm / 2.2 inches,44.88 mm / 1.75 inches,4.51 mm / 0.18 inches,64.2g grams,Size C (.250 x .500 x .187),19mm Slim Pad Size,NA,USA,China,NA,NA
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/wingweaver-yoyo-by-damian-puckett,Wingweaver,$ 85.00,Damian Puckett -   Powerful W-Shaped YoYo,55.00 mm / 2.17 inches,45.65 mm / 1.80 inches,4.25 mm / 0.18 inches,NA,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7068 Aluminum/Stainless Steel Rings & 7068 Aluminum/Brass Rings,USA,China,NA,October 2022
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/fusion,Fusion,$ 85.00,Damian Puckett -  Damian Puckett and Dressel Designs Collaboration!,55.95 mm / 2.20 inches,42.97 mm / 1.69 inches,4.25 mm / 0.17 inches,NA,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7068 Aluminum/Stainless Steel Rings & 7068 Aluminum/Brass Rings,USA,China,NA,October 2022
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/aventus-yo-yo-by-thesis,Aventus,$ 100.00,Thesis - Powerful V-Shaped Bi-Metal!,56mm /2.2 inches,46mm /1.81 inches,4.5mm /0.18 inches,65grams,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum + SS Rings,USA,China,NA,October 2022
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/monster-yoyo-by-yoyofactory,MonsteR,$ 54.99,"YoYoFactory - A REALLY WIDE MONO-METAL YO-YO!",56.00 mm /2.20inches,55.30mm /2.18 inches,3.95mm / 0.16 inches,67.00grams,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,Japan,China,NA,October 2022
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/knuckleyo-by-zero-gravity-return-tops,KnuckleYo,$ 63.99,Zero Gravity Return Tops -  Knuckleroller x Yo-Yo!,22.5 mm / 0.89 inches,35.8 mm / 1.41 inches,3.45 mm / 0.14 inches,47.7 grams,Concave Size A,“Slim Pad” Size 19mm OD,Aluminum Body w/ Stainless Steel brass or Copper Beads,Canada,China,NA,October 2022
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/monarch-yoyo-by-dressel-designs,Monarch,$ 79.99,Dressel Designs -  Plastic Body W/ Aluminum Weight Rings!,56.40 mm / 2.22 inches,46.00 mm / 1.81 inches,4.5 mm / 0.18 inches,65.3 grams,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,USA,China,NA,October 2022
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/diffraction-v3-yoyo-by-mk1-yoyos,Diffraction V3,$ 69.99,MK1 YoYos -  Monometal Designed For Comfort and Performance!,56.00 mm / 2.2 inches,46.00 mm / 1.81 inches,4.60 mm / 0.18 inches,64.40 grams,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7075 Aluminum,USA,China,NA,October 2022
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/deeper-state-yoyo-by-one-drop-designs,Deeper State,$ 54.00,One Drop YoYos -  We Need To Go Deeper!,56.80 mm / 2.24 inches,31.30 mm / 1.23 inches,3.30 mm / 0.13 inches,52.3 grams,Size C (.250 x .500 x .187),One Drop Pads  Standard Flow Groove Pad,6061 Aluminum,USA,USA,NA,October 2022
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/free-solo-yoyo-by-one-drop-designs,Free Solo,$ 66.00,One Drop YoYos -  Powerful 7075 Aluminum V-Shaped Yo-Yo!,55.60 mm / 2.19 inches,46.00 mm / 1.81 inches,4.32 mm / 0.17 inches,65 grams,Size C (.250 x .500 x .187),One Drop Pads  Standard Flow Groove Pad,7075 Aluminum,USA,USA,NA,October 2022
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/thorn-yoyo-by-one-drop-designs,Thorn,$ 62.00,One Drop YoYos - Do you dare try a spin start or air grab?,56.77 mm / 2.24 inches,42.55 mm / 1.68 inches,4.45 mm / 0.18 inches,64.7 grams,Size C (.250 x .500 x .187),One Drop Pads  Standard Flow Groove Pad,6061 Aluminum,USA,USA,NA,October 2022
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/cold-fusion-gt-yoyo-by-duncan-yoyo-toys,Cold Fusion GT,$ 69.99,Duncan -   An all time classic re-imagined for a modern age.,NA,NA,NA,NA,Size A,Small Bearing Pad,6061 Aluminum,USA,China,NA,November 2022
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/wave-yoyo-by-static-co,wave,NA,"Static Co -   Fun, Slim, Highwall Organic - Brian Cosky Signature YoYo",54.80 mm / 2.16 inches,41.00 mm / 1.61 inches,4.32 mm / 0.17 inches,63.2 grams,Size C (.250 x .500 x .187),One Drop Flow Groove Pads,7068 Aluminum,USA,China,NA,November 2022
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/legato-ii-yoyo-by-general-yo,Legato II,$ 96.99,General Yo - Powerful V-Shaped Bi-Metal YoYo!,56.4 mm / 2.22 inches,43.8 mm / 1.72 inches,4.6 mm / 0.18 inches,64.4 grams,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7075 Aluminum w/ Stainless Steel Rings,USA,China,NA,2023
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/stella-ix-yoyo-by-c3yoyodesign,Stellar IX,$ 124.99,C3yoyodesign - Sora Ishikawa Signature YoYo,62.45mm /2.46 inches,64.12mm /2.52 inches,4.75mm / 0.19 inches,73.40grams,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Polycarbonate,Hong Kong,China,NA,November 2022
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/geedorah-yoyo-by-guy-with-a-yoyo,Geedorah,$ 60.00,GWAY -  GWAY Throws First Competition Design!,56.00 mm / 2.2 inches,45.07 mm / 1.77 inches,4.41 mm / 0.17 inches,64.6 grams,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,USA,China,NA,November 2022
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/kamuraiju-yoyo-by-one-drop-yoyo-designs,Kamuraiju,$ 66.00,One Drop YoYos -  Flat Rimmed - Daiju Okamura Signature YoYo!,54.00mm / 2.13 inches,42.00mm / 1.65 inches,4.32mm / 0.17 inches,64.55grams,Size C (.250 x .500 x .187),One Drop Standard Flow Groove Pad,6061 Aluminum,USA,USA,NA,November 2022
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/miracle-yoyo-by-yoyofactory,Miracle,$ 159.99,YoYoFactory -  The Next Generation of Yo-Yo Performance and Design - Mir & Miri Kim Signature YoYos!,56.76 mm / 2.23 inches,47.92 mm / 1.89 inches,4.50 mm /0.17 inches,65.80 grams,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7075 Aluminum w/Brass/Polycarbonate Rims,USA,China,NA,November 2022
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/edge-fs,Edge FS 2.0,$ 35.99,YoYoFactory -  Budget Fingerspin YoYo!,56.70 mm / 2.23 inches,41.70 mm / 1.64 inches,4.50 mm / 0.17 inches,66.80 grams,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,USA,China,NA,November 2022
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/qi,Qi,$ 61.99,Zero Gravity Return Tops -  Comfortable H-Shaped YoYo!,54 mm / 2.13 inches,46.5 mm / 1.83 inches,4.5 mm / 0.18 inches,62.1 grams,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7003Aluminum,Canada,China,NA,November 2022
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/mn-autoscopy,MN AUTOSCOPY,$ 65.99,yoyorecreation - Hajime Miura Signature YoYo!,56.00 mm / 2.2 inches,43.00 mm / 1.69 inches,4.5 mm / 0.18 inches,67 grams,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Aluminum,Japan,China,NA,November 2022
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/bae-yoyo-by-yoyorecreation,BAE,$ 168.99,yoyorecreation - Toru Miyazaki signature model!,55.50 mm / 2.19 inches,45.00 mm / 1.77 inches,4.53 mm / 0.18 inches,65.00 grams,Size C (.250 x .500 x .187),YYR Size C,Aluminum,Japan,China,NA,December 2022
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/orochi-yoyo-by-sengoku,Orochi,$ 97.99,Sengoku - Organic meets Sengoku!,56.53 mm / 2.23 inches,47.83 mm / 1.88 inches,4.50 mm / 0.18 inches,67.00 grams,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7068 Aluminum,Japan,China,NA,December 2022
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/dynames-yoyo-by-mk1,Dynames,$ 55.00,MK1 YoYos -  Rounded Out V Shaped YoYo - Max Choo Signature YoYo!,55.80 mm / 2.2 inches,48.10 mm / 1.89 inches,4.50 mm / 0.18 inches,64.00 grams,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7075 Aluminum,USA,China,NA,December 2022
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/seiji-yoyo-by-unparalleled,Seiji,$ 120.00,Unparalleled -   Signature Bimetal of Junsang Park,56.30 mm / 2.22 inches,46.00 mm / 1.81 inches,4.50 mm / 0.18 inches,65.61 grams,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7068 Aluminum w/ Stainless Steel Rings,USA,China,NA,December 2022
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/gravitron,Graviton,$ 179.99,yoyofriends -  Bi-metal With Titanium Rims! - Tony Sung Signature YoYo!,55.35 mm / 2.18 inches,47.00 mm / 1.85 inches,4.43 mm / 0.17 inches,64.7 grams,Size C (.250 x .500 x .187),19mm slim Pad Size,NA,China,China,NA,NA
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/pharaoh-plus-yoyo-by-good-life-yoyos,Pharaoh Plus,$ 139.99,Good Life YoYos - Filip David Signature Series,56.34 mm / 2.22 inches,45.39 mm / 1.79 inches,4.5 mm / 0.18 inches,64.41 grams,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum w/ Stainless Steel Rings,USA,China,NA,December 2022
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/plastic-fulvia-yoyo-by-luftverk,Plastic Fulvia,$ 29.99,Luftverk -   Injection Machined Innovative Plastic,59.20 mm / 2.33 inches,46.07 mm / 1.81 inches,4.50 mm / 0.18 inches,67.01 grams,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Plastic,Canada,China,NA,December 2022
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/the-bowl-303-yoyo-by-rso,The Bowl 303,NA,Round Spinning Objects - ENGINEERING MARVEL,56.00 mm / 2.20 inches,45.00 mm / 1.77 inches,4.40 mm / 0.17 inches,63.7 grams,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",303 Stainless Steel,Singapore,China,NA,December 2022
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/hades-yoyo-by-turning-point,Hades,$ 219.99,Turning Point - Over Sized Bi-Metal YoYo!,59.90 mm / 2.36 inches,44.67 mm / 1.76 inches,4.50 mm / 0.18 inches,80.2 grams,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 w/ Stainless Steel Rings,Japan,China,NA,2023
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/solenoid-yoyo-by-turning-point,Solenoid,$ 139.99,Turning Point - Stable Heavy-weight Powerful YoYo!,56.00 mm / 2.2 inches,42.80 mm / 1.69 inches,4.50 mm / 0.18 inches,67.3 grams,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,Japan,China,NA,2023
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/ziz-yoyo-by-turning-point,Ziz,$ 199.99,Turning Point - Ryo Enomoto Signature Yoyo!,52.90 mm / 2.08 inches,42.68 mm / 1.68 inches,4.50 mm / 0.18 inches,66.5 grams,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 w/ Titanium Rim,Japan,NA,NA,2023
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/nucleon-yoyo-by-yoyofriends,Nucleon,$ 80.70,yoyofriends - YoYoFriends 7th Anniversary Release!,55.96 mm / 2.20 inches,43.98 mm / 1.73 inches,4.44 mm / 0.17 inches,65.1 grams,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7068 Aluminum w/ Stainless Steel Rims,China,China,NA,January 2023
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/hatrick-2,Hatrick 2,$ 104.99,General Yo - Organic 7075 Aluminum Bi-Metal YoYo!,53.3mm / 2.10 inches,43.5 mm / 1.71 inches,4.6 mm / 0.18 inches,65 grams,Size C (.250 x .500 x .187),Hat Pads,7075 Aluminum w/ Stainless Steel Rings,USA,China,NA,January 2023
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/wyvern,Wyvern,$ 62.00,One Drop YoYos -  Flat Rimmed - Andrew Daugherty Signature YoYo!,55.88mm / 2.20 inches,46.00mm / 1.81 inches,4.45mm / 0.18 inches,66.6 grams,Size C (.250 x .500 x .187),One Drop Standard Flow Groove Pad,6061 Aluminum,USA,USA,NA,January 2023
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/spotlight-ultra-yoyo-by-yoyofactory,Spotlight Ultra,$ 59.99,YoYoFactory -   Hunter Feuerstein Signature YoYo!,56.07 mm / 2.21 inches,49.47 mm / 1.95 inches,4.50 mm / 0.18 inches,64.8 grams,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7068 Aluminum,USA,China,NA,January 2023
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/cyber-crash-2-yoyo-by-c3yoyodesign,Cyber Crash 2,$ 34.99,C3yoyodesign - C3 Crash Series!,57.95 mm / 2.28 inches,43.2 mm / 1.70 inches,4.50 mm / 0.18 inches,65.2 grams,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,Hong Kong,China,NA,February 2023
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/yyf-fast-201-yoyo ,YYF Fast 201,$ 9.99,YoYoFactory -  Fully Active Starburst Technology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/yyf-dv888-yoyo,YYF DV888,$ 19.99,YoYoFactory -  Affordable Entry-Level Metal Yo-Yo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/duncan-pulse-yoyo,Duncan Pulse,$ 8.99,Duncan -  Light Up Yo-Yo!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/yyf-mighty-flea-yoyo,YYF Mighty Flea,$ 64.99,YoYoFactory -  Worlds Smallest Yo-Yo Built For Advanced Play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/duncan-metal-drifter-yoyo,Metal Drifter,$ 24.99,Duncan -  Redesigned for modern performance!,53.00 mm / 2.08 inches,39.30 mm / 1.54 inches,4.5 mm / 0.17 inches,58.5 grams,Size C Narrow,19mm Slim Pad Size,NA,USA,China,NA,NA
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/duncan-proyo-yoyo,Duncan Proyo,$ 6.50,Duncan -  Great Intro Yo-Yo - Learn The Basics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/yyf-one-yoyo,YYF ONE,$ 12.99,YoYoFactory -  THE ONE YO-YO EVERYONE SHOULD OWN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/yyf-whip-yoyo,Whip,$ 8.99,YoYoFactory -  Amazing performance and play at a great price!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/yoyofactory-one-starter-set-yoyo,YYF One Starter Set,$ 18.99,YoYoFactory -  Get Started The YoYoFactory Way!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/power-brain-xp-yoyo-by-yomega,Power Brain XP,$ 14.99,Yomega -  SmartSwitch Technology.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/firmy-yoyo,FIRMY,$ 49.99,sOMEThING -  Your First Metal Yo-Yo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/velocity-yoyo-by-yoyofactory,Velocity,$ 15.99,YoYoFactory -  Fully Adjustable Plastic Yo-Yo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/duncan-butterfly-xt-yoyo,Duncan Butterfly XT,$ 5.99,Duncan -  All Affordable Beginner Bearing Yo-Yo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/the-v-yoyo,The V,$ 55.00,sOMEThING -  Japenese High End Machined Delrin Yo-Yo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/anglam-cc-christopher-chia-edition-yoyo,ANGLAM CC (Christopher Chia Edition),$ 210.00,sOMEThING -  Christopher Chia Signature Yo-Yo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
